Date,AAPL,ABBV,ACN,AMGN,AMZN,AVGO,BA,BMY,C,CMCSA,COST,CSCO,CVX,DIS,GE,GILD,GOOGL,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MCD,MDT,META,MMM,MO,MRK,MSFT,NKE,ORCL,PEP,PFE,PG,PYPL,QCOM,SLB,T,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM
2015-11-06,27.29526710510254,41.975074768066406,90.50460052490234,118.59844207763672,32.96849822998047,9.882231712341309,132.6775665283203,46.236549377441406,41.73373794555664,22.522798538208008,132.22776794433594,20.789262771606445,60.560787200927734,105.93821716308594,125.76642608642578,75.83949279785156,37.79443359375,98.8433837890625,75.47755432128906,86.44015502929688,26.74423599243164,76.69989013671875,52.001041412353516,30.410152435302734,67.34312438964844,88.1324462890625,59.137874603271484,106.3570556640625,95.12802124023438,28.993988037109375,37.92757797241211,47.766571044921875,57.85444641113281,34.82771682739258,73.25617218017578,20.571128845214844,56.995758056640625,36.15641784667969,39.909847259521484,59.10076141357422,12.14824104309082,43.73722457885742,97.39181518554688,68.28240966796875,73.28950500488281,26.705108642578125,42.11272048950195,16.194692611694336,54.037837982177734
2015-11-09,27.18478775024414,41.385990142822266,89.5483169555664,117.98502349853516,32.77450180053711,9.640643119812012,130.9197540283203,45.911598205566406,41.614219665527344,22.42775535583496,130.22190856933594,20.59195899963379,59.459442138671875,106.62511444091797,125.05183410644531,75.67848205566406,37.45549774169922,97.68217468261719,74.5413589477539,84.60197448730469,26.35697364807129,75.8871078491211,51.188289642333984,30.105777740478516,66.42245483398438,87.83689880371094,58.99018478393555,105.75128936767578,94.05883026123047,28.988908767700195,37.67060089111328,47.105560302734375,57.28371810913086,34.381874084472656,72.63908386230469,20.4013671875,56.86752700805664,36.51558303833008,39.55124282836914,58.241085052490234,12.031009674072266,43.418460845947266,96.92523956298828,68.43333435058594,72.62871551513672,26.425107955932617,41.826194763183594,16.11480140686035,52.882755279541016
2015-11-10,26.3280086517334,40.77729034423828,89.7105484008789,117.0537109375,32.98400115966797,9.134604454040527,130.17538452148438,45.9539794921875,41.68144989013672,22.508174896240234,131.6102752685547,20.445812225341797,60.04552459716797,107.54096984863281,126.6071548461914,76.19648742675781,37.62868881225586,98.27847290039062,74.31640625,84.70201110839844,26.246335983276367,76.3461685180664,51.40855407714844,30.272459030151367,67.4332046508789,88.06245422363281,59.402252197265625,107.16144561767578,94.13050842285156,28.841630935668945,37.80256271362305,46.54022979736328,57.072994232177734,34.2275390625,72.60233306884766,20.48624038696289,57.146610260009766,36.9146614074707,39.05067825317383,58.88398361206055,12.012689590454102,43.2818489074707,98.30797576904297,67.37706756591797,74.10181427001953,26.30843162536621,42.157962799072266,16.167142868041992,53.140892028808594
2015-11-11,26.17919158935547,39.83476257324219,89.73614501953125,115.93762969970703,33.662498474121094,9.141462326049805,130.03189086914062,45.38176727294922,41.0091667175293,22.500856399536133,131.5934295654297,20.328895568847656,59.375701904296875,106.71669006347656,128.9189910888672,75.03448486328125,37.975563049316406,97.8469467163086,74.94049072265625,84.42062377929688,25.9697265625,76.65471649169922,51.15791320800781,30.4681396484375,67.97223663330078,88.55245971679688,59.137874603271484,108.25379943847656,95.00257873535156,29.054933547973633,37.3094596862793,46.6619758605957,55.940311431884766,33.47303009033203,73.04310607910156,20.455928802490234,57.28990173339844,36.246212005615234,39.48400115966797,58.031776428222656,12.060310363769531,43.714439392089844,97.16276550292969,67.00382232666016,73.82212829589844,26.436777114868164,42.075008392333984,15.864079475402832,52.6698112487793
2015-11-12,26.091264724731445,39.42240524291992,89.0701675415039,112.15646362304688,33.279998779296875,9.133842468261719,127.8346176147461,45.0144157409668,39.93352127075195,22.478925704956055,131.2653045654297,20.336206436157227,57.87505340576172,106.43277740478516,126.77532958984375,72.96245574951172,37.5428352355957,97.14082336425781,74.0042953491211,83.18264770507812,25.606178283691406,75.4581527709961,50.132469177246094,30.13475227355957,67.26470947265625,87.19911193847656,57.69950866699219,107.27068328857422,93.35997009277344,28.826387405395508,36.83024215698242,46.374969482421875,55.308128356933594,33.121490478515625,72.26441192626953,20.243730545043945,56.30942916870117,35.48796081542969,39.282283782958984,57.26179885864258,11.97605037689209,43.008636474609375,95.70372772216797,66.67024230957031,73.010986328125,26.150936126708984,41.599979400634766,15.690503120422363,51.24367904663086
2015-11-13,25.329181671142578,39.18022918701172,88.07122039794922,112.57991790771484,32.11750030517578,8.957793235778809,127.87947082519531,45.31818771362305,39.716896057128906,22.018306732177734,129.30471801757812,19.15241813659668,57.11507034301758,105.17803955078125,127.27970123291016,71.80042266845703,36.72601318359375,94.15150451660156,73.35839080810547,82.3760986328125,25.376989364624023,75.16465759277344,49.798255920410156,29.989810943603516,67.00360870361328,85.53459930419922,57.893882751464844,103.22891235351562,92.97171020507812,28.58261489868164,36.83024215698242,45.957496643066406,53.49934387207031,31.981142044067383,72.0219955444336,20.17098045349121,55.781471252441406,34.45035934448242,38.80414581298828,56.917938232421875,11.83683967590332,42.59881591796875,94.50764465332031,66.53527069091797,72.82453155517578,25.800933837890625,41.14754104614258,15.544480323791504,50.3983154296875
2015-11-16,25.74403953552246,39.27840805053711,90.78636932373047,114.77133178710938,32.390499114990234,9.257304191589355,129.5207061767578,45.93279266357422,40.10531997680664,22.42775535583496,131.64393615722656,19.576248168945312,59.61846923828125,106.16717529296875,127.615966796875,72.66842651367188,37.2396240234375,94.81056213378906,74.72279357910156,83.6015625,25.369083404541016,76.17308807373047,50.519859313964844,30.410152435302734,68.4186782836914,86.3824234008789,59.27783966064453,103.31829833984375,94.50082397460938,28.83147621154785,37.29556655883789,46.76636505126953,54.20177459716797,32.68421936035156,73.13863372802734,20.104290008544922,56.7921142578125,35.527870178222656,39.42424011230469,58.55506896972656,12.10427474975586,43.16801452636719,96.55199432373047,66.9879150390625,73.56104278564453,26.273439407348633,41.67537307739258,15.943976402282715,52.20519256591797
2015-11-17,25.633562088012695,39.52057647705078,90.75220489501953,117.07421875,32.165000915527344,9.302267074584961,131.00941467285156,46.43436813354492,39.955928802490234,22.347326278686523,133.69703674316406,19.590864181518555,59.344661712646484,106.3594970703125,127.44783020019531,73.17242431640625,37.019290924072266,99.00031280517578,74.66803741455078,83.6703109741211,25.795860290527344,76.38380432128906,50.23120880126953,30.199989318847656,68.47760772705078,86.28907775878906,59.54219055175781,104.4007339477539,93.79600524902344,28.7857723236084,37.30251693725586,46.38108825683594,53.8154296875,32.69278335571289,72.60233306884766,19.928468704223633,56.61865234375,36.12648391723633,39.58113098144531,57.36646270751953,12.184871673583984,43.31221389770508,97.03555297851562,67.58354187011719,73.49578857421875,26.29677391052246,41.44163513183594,16.508777618408203,51.59859085083008
2015-11-18,26.44525718688965,39.91985321044922,92.1097640991211,119.54049682617188,33.176998138427734,9.596442222595215,132.98248291015625,47.76246643066406,41.06893539428711,22.870086669921875,135.68287658691406,19.8173885345459,60.11393737792969,108.20040893554688,128.28848266601562,75.69252014160156,37.71553421020508,99.28276062011719,75.96009063720703,84.92083740234375,26.206815719604492,77.26427459716797,51.23386764526367,30.64206886291504,70.45697021484375,87.5257797241211,60.30416488647461,107.02239990234375,94.62872314453125,28.9787540435791,37.66365432739258,47.1516227722168,55.220306396484375,33.181514739990234,73.66019439697266,20.195228576660156,57.24465560913086,36.1364631652832,35.8605842590332,58.719512939453125,12.28744888305664,43.98765563964844,99.46162414550781,69.17982482910156,75.0154800415039,26.47177505493164,41.97699737548828,16.787046432495117,52.10194778442383
2015-11-19,26.781198501586914,39.63185119628906,91.59746551513672,118.47818756103516,33.063499450683594,9.54233169555664,133.8434295654297,47.28916549682617,41.12868881225586,22.89202117919922,137.01234436035156,20.000072479248047,59.214271545410156,108.7224349975586,127.23761749267578,74.55845642089844,37.71205520629883,99.53382110595703,76.67546081542969,85.49605560302734,27.107776641845703,77.1288070678711,51.39337921142578,31.243602752685547,70.51593780517578,88.12468719482422,58.8968620300293,105.52288818359375,95.22394561767578,29.181900024414062,37.69837951660156,47.23042678833008,55.220306396484375,33.455875396728516,74.14505767822266,19.576824188232422,57.48601150512695,36.106529235839844,36.15195083618164,58.24856948852539,12.316757202148438,43.98005676269531,93.84596252441406,69.12422943115234,74.72645568847656,26.69344139099121,42.20318603515625,16.723682403564453,51.818016052246094
